RIL,foldid10,yd97x,tp97x,gn99h,kgw97x
R001,5,26.55,11.575,98.6,24.2325
R002,8,18.65,12.975,61.8,23.395
R003,5,21.3625,12.25,74.1,24.02
R004,9,26.94,9.9,126.65,22.2575
R005,1,26.0325,11.4,88.55,26.1275
R006,2,26.0225,11.425,106.1,21.62
R007,1,25.885,11.15,91.675,25.44
R008,7,31.955,12.025,106.75,25.1875
R009,1,31.1625,9.825,123.175,25.6825
R010,7,28.0925,11.45,87.85,28.745
R012,4,31.2275,11.525,89.3,29.915
R013,4,24.81,9.875,102.7,24.1075
R014,7,21.7725,10.2,79.125,26.5675
R015,5,28.8675,8.25,149.325,23.3925
R016,2,33.7575,12.95,99.325,25.525
R017,2,30.7225,12.175,98.5,25.35
R018,5,27.69,10.8,97.25,25.6275
R019,1,27.46,10.35,98.575,25.9475
R020,6,29.4025,11.1,102.225,26.0525
R021,1,34.32,10.625,125.6,26.0975
R022,8,13.835,7.775,74.75,23.785
R023,9,23.83,12.45,94.225,20.38
R025,1,26.38,11.25,122.5,19.0225
R027,10,27.08,8.55,134.925,23.5125
R028,4,21.6275,11.1,80.875,24.665
R029,10,28.1325,11.9,93.25,25.405
R030,7,27.66,10.95,91.45,27.7725
R031,3,24.22,12.375,77.125,26.245
R032,5,20.63,11.1,82.325,22.57
R033,8,31.2625,10.875,114.675,25.065
R034,6,30.085,10.375,117.15,24.8525
R036,5,29.3475,12.8,109.025,21.44
R039,5,20.9275,11.675,69.05,26.32
R040,6,33.4025,11.8,128.95,22.235
R041,3,33.85,11.95,126.475,22.665
R042,3,28.3975,10.7,101,26.295
R043,4,25.58,11.075,83,27.7525
R044,1,20.7275,10.975,75.775,25.345
R045,10,25.49,10.225,92.9,26.3175
R046,8,30.44,10.2,119.875,24.79
R048,2,29.9325,12.1,115.775,21.395
R049,1,19.015,11.45,73.75,20.3375
R050,1,23.885,8.65,111.15,24.2975
R051,7,29.41,11.025,97.3,27.7925
R053,3,14.47,9.75,68.15,22.3525
R054,2,24.77,10.825,96.125,24.22
R055,1,21.1475,12.375,87.275,20.005
R056,2,27.3575,12.625,85.85,25.28
R057,4,27.93,11.1,119.175,21.395
R059,4,25.5275,12.275,82.8,25.56
R060,10,16.4325,10.35,73.875,21.0975
R061,2,26.37,10.575,98.7,25.2925
R062,7,27.1725,9.875,110.4,24.9325
R063,8,17.27,9.65,71.625,25.35
R064,3,27.6525,10.975,95.95,26.5125
R065,10,26.7425,9.425,102.65,27.965
R066,2,21.9975,11.575,96.4,20.0325
R067,6,21.695,10.425,101.9,20.3975
R068,9,27.9,12.225,86.275,26.5325
R069,9,28.0475,11.875,91.375,26.6625
R070,1,25.5325,11.1,108.025,21.3675
R071,4,31.5625,11.025,124.7,22.87
R072,6,26.2775,12.8,89.1,23.8325
R073,8,16.8675,10.475,66.25,25.685
R074,7,20.965,10.825,74.175,26.9525
R075,8,23.7325,11.575,76.425,26.5875
R076,10,30.5075,9.2,142.525,22.975
R077,8,25.165,11.375,80.8,27.9225
R078,2,26.5175,10.475,93.25,26.5675
R079,10,31.1875,11.15,118.475,23.4825
R080,6,32.7,11.2,130.925,21.8825
R081,1,31.1475,10.5,122.875,24.0175
R082,5,30.455,11.05,111.7,24.56
R083,9,32.985,10,112.65,28.5775
R084,3,23.98,11.8,114.425,18.2025
R086,6,26.985,11.925,90.625,25.0125
R087,8,26.3375,11.15,89.175,25.84
R089,7,11.87,11.275,58.8,18.025
R090,7,26.145,9.9,117.475,22.695
R092,2,34.3225,10.25,139.2,24.8675
R093,8,26.005,9.475,102.775,27.61
R094,1,29.5425,9.4,138.35,23.005
R097,5,19.5425,13.125,61.125,24.6225
R098,4,24.7,11.9,86.55,23.855
R099,2,26.8625,11.625,111,21.02
R100,5,30.8275,11,135.175,20.9825
R101,1,27.7975,9.325,131.05,22.905
R103,4,24.2575,10.8,102.625,21.8575
R105,10,36.99,11.825,109.55,28.0925
R106,4,25.3275,10.475,88.3,28.1925
R107,10,34.425,11.075,133.15,23.3675
R108,3,21.7975,10.675,76.25,27.4925
R109,6,26.0075,13.4,90.175,22.38
R111,3,18.4125,11.8,77.25,21.9
R112,4,20.755,11.15,84.85,23.505
R113,10,26.0625,10.55,105,23.76
R115,10,26.445,9.325,115.925,25.0275
R116,3,24.49,11.6,103.9,20.625
R118,4,9.96,11.075,50.175,18.945
R119,10,28.775,11.25,94.9,27.3675
R120,2,26.5575,12.325,91.55,23.78
R121,5,27.565,11.05,123.55,20.95
R122,8,27.365,10.95,93.4,27.205
R123,8,24.945,10.4,110.2,22.1075
R125,5,20.9625,11.625,79.225,22.4925
R126,1,23.675,11.125,97.8,21.895
R127,5,21.1775,10.15,85.125,24.89
R128,10,28.26887805,11.54597561,110.9469512,22.24737805
R129,4,17.7725,12.4,61.5,23.5875
R130,10,24.98887805,8.92097561,111.1969512,25.02987805
R131,10,24.4525,9.45,112.325,23.845
R132,6,29.24,11.4,87.075,29.0575
R133,3,23.4425,11.825,94.25,21.6075
R135,1,28.0825,9.325,138.7,22.2975
R137,5,27.7675,11.925,84.075,28.56
R138,1,28.4375,12.525,104.65,22.0425
R139,7,22.6,10.675,83.05,26.1675
R140,7,24.4725,13.5,78.225,23.645
R141,8,22.8125,13,78.7,22.845
R142,5,28.3175,10.575,104.3,25.2575
R143,3,30.28,10.55,122.825,23.6375
R144,3,21.8025,10.225,102.4,21.89
R145,8,18.0625,13.725,63.725,20.6175
R146,10,24.5775,7.1,134.65,26.1875
R147,4,30.175,10.925,92.9,29.635
R148,9,29.4925,10.575,97.175,28.6625
R149,6,21.0625,10.425,83.1,24.9275
R150,8,20.98,9.85,93.525,22.6375
R151,6,23.36,10.575,107.975,20.6725
R152,1,26.4925,10.075,110.075,24.1025
R153,6,26.315,11.55,97.15,24.2325
R154,10,20.1275,10.75,88.3,21.9025
R155,1,29.0575,14.55,99.8,20.045
R156,1,27.5525,12.575,86.275,25.645
R157,9,26.0725,12.6,89.175,23.8975
R158,1,23.1475,10.35,89.35,24.7925
R159,1,24.635,9.6,105.475,24.505
R160,5,29.695,10.025,99.05,29.505
R161,5,24.7425,10.35,89.925,26.455
R163,2,28.0125,11.975,83.65,28.0775
R164,3,29.4475,12.2,90,26.9525
R166,7,25.7,9.075,115.6,24.6675
R167,5,17.385,10.475,68.625,24.7875
R168,3,30.4075,11.125,112.125,24.5125
R169,5,33.0675,10.8,118.475,25.4875
R170,8,26.6325,10.4,91.025,28.4625
R171,2,25.7775,9.3,118.875,23.545
R172,9,25.1325,11.325,111.175,20.1275
R173,8,25.8525,10.6,110.375,22.4575
R174,9,24.2825,11,101.225,22.2425
R175,5,22.805,9.075,88.95,28.5875
R176,9,22.66,11.725,77.15,24.9925
R177,10,24.55,10.075,84.85,29.0675
R178,6,27.8825,12.625,105.2,21.2075
R179,8,27.485,11,93.5,27.0075
R180,1,31.265,9.2,119.425,28.015
R181,3,24.7475,11.2,87.775,25.485
R182,2,22.635,12.05,75.925,25.47
R183,4,25.4925,10.775,81.35,29.3125
R184,6,26.44387805,9.72097561,104.9969512,26.17237805
R185,4,25.135,9.75,110.575,23.0425
R186,8,30.1225,10.45,115.65,25.28
R187,5,29.07,9.55,111.725,27.24
R188,6,27.1625,9.8,103.425,26.96
R189,8,26.88,12.425,81.925,27.075
R190,9,25.925,12.875,80.75,25.825
R191,9,29.5525,10.65,138.275,20.4075
R193,4,29.225,14.375,88.15,23.835
R194,3,31.1625,11.1,118.5,23.205
R195,7,29.8525,10.275,130.325,22.7075
R196,9,25.3525,8.2,122.525,25.7775
R197,2,23.775,11.25,90.725,23.425
R198,4,27.44,11.35,106.925,22.5675
R199,5,24.0325,10.975,84.175,26.77
R200,6,18.8625,9.525,83.1,23.6925
R202,10,22.245,9.725,109.975,21.3175
R203,5,24.8525,11.1,84.8,26.575
R204,2,17.975,12.55,67.875,21.1625
R205,5,27.175,12,80.65,28.3525
R206,8,27.5825,10.275,111.975,24.6325
R208,8,29.83,9,113.95,29.43
R209,5,30.525,10.4,139.2,21.4725
R210,1,29.545,10.7,104.7,26.6125
R211,9,24.22887805,10.64597561,97.34695122,24.09237805
R213,4,18.9425,8.9,83.2,25.02
R214,8,26.6975,10.475,118.75,21.66
R216,3,24.2775,9.4,97.825,26.5175
R218,9,29.765,10.85,127.6,22.0925
R219,9,16.675,10.6,66.125,24.1075
R220,1,32.5475,11.575,126.6,22.29
R221,4,20.545,10.525,77.9,25.37
R222,1,25.2925,8.65,100.675,29.09
R223,5,28.195,10.1,103.8,26.5325
R224,2,23.77,10.675,108.725,21.1425
R225,7,31.0525,10.325,111.625,27.355
R226,4,20.9975,11.625,74.55,24.9625
R227,3,26.715,10.675,111.825,23.1775
R228,7,25.545,9.775,121.25,22.1275
R229,9,29.0325,9.95,120.1,24.485
R230,10,28.21,12.85,101.575,21.6075
R231,8,15.40637805,8.12097561,64.74695122,21.96737805
R232,9,26.71,10.6,112.725,22.4125
R233,9,29.305,11.525,105.95,24.0475
R234,8,25.59,10.85,104.7,23.5825
R235,4,29.7575,10.825,122.2,22.6475
R236,4,22.5125,11.225,91.125,22.325
R237,7,19.7425,12.975,71.5,21.4125
R238,8,28.1975,8.525,121.525,27.1525
R239,7,30.7625,10.275,112.975,26.6425
R241,4,27.57558612,11.6076555,94.84342105,26.26185407
